lat,lng,predicted_label
0.28,-84.98,FR II
0.315,-85.347,Bent
0.408,-24.969,FR I
0.443,-24.64,FR II
0.448,-24.695,Bent
0.558,-24.367,FR II
0.562,-85.718,Point Source
0.581,-24.671,Bent
0.624,-84.625,FR II
0.68,-24.755,FR I
0.71,-25.068,FR II
0.71,-25.274,FR I
0.768,-24.734,Point Source
0.769,-24.75,FR I
0.802,-24.905,Bent
0.815,-24.799,Bent
0.832,-24.709,FR I
0.847,-24.167,FR I
0.851,-24.632,FR II
0.892,-24.218,FR I
0.9,-25.448,FR II
0.923,-24.804,Bent
0.947,-25.34,FR II
0.971,-24.29,FR II
1.032,-24.344,FR I
1.068,-24.605,Bent
1.069,-24.397,FR II
1.077,-24.45,FR I
1.091,-24.631,FR II
1.1,-24.445,Bent
1.101,-24.996,FR II
1.109,-24.936,FR I
1.118,-24.696,FR II
1.129,-24.866,Point Source
1.13,-25.121,Point Source
1.144,-24.526,FR II
1.158,-24.189,Point Source
1.159,-66.941,FR I
1.161,-23.746,FR I
1.166,-24.878,Bent
1.213,-24.959,FR I
1.22,-24.566,FR I
1.227,-24.34,FR II
1.228,-24.668,FR II
1.236,-24.883,FR I
1.24,-24.761,FR I
1.244,-24.585,Bent
1.244,-25.565,FR I
1.245,-24.416,FR II
1.253,-24.665,Bent
1.256,-24.689,Bent
1.265,-25.605,FR II
1.269,-65.782,FR II
1.272,-24.73,FR II
1.279,-24.22,FR I
1.287,-24.477,FR II
1.315,-85.031,Bent
1.341,-24.436,Bent
1.342,-24.523,Point Source
1.346,-24.176,FR II
1.351,-24.564,FR I
1.359,-24.177,FR II
1.359,-24.703,FR I
1.37,-66.644,FR II
1.382,-24.037,FR II
1.405,-24.369,FR I
1.418,-24.622,Point Source
1.423,-25.648,FR I
1.43,-65.237,Bent
1.434,-25.128,FR II
1.454,-25.024,FR II
1.455,-25.149,FR I
1.456,-25.059,FR II
1.477,-65.241,FR I
1.48,-85.604,Point Source
1.483,-66.638,FR II
1.487,-24.821,FR II
1.488,-24.458,Point Source
1.499,-24.199,FR I
1.499,-24.777,FR II
1.515,-25.121,Bent
1.516,-66.097,FR II
1.547,-25.028,FR II
1.558,-24.225,FR I
1.565,-25.033,FR II
1.582,-24.623,FR II
1.582,-25.092,FR II
1.588,-24.254,Bent
1.598,-24.318,FR II
1.601,-24.638,FR II
1.603,-23.633,FR II
1.606,-24.897,FR II
1.616,-25.142,Point Source
1.618,-23.961,FR I
1.632,-84.839,FR II
1.635,-25.363,FR I
1.636,-66.133,FR I
1.641,-66.667,FR I
1.653,-25.118,Point Source
1.661,-85.035,FR I
1.662,-25.216,FR II
1.681,-25.08,FR I
1.709,-24.527,FR II
1.718,-25.116,Bent
1.719,-25.171,FR II
1.729,-24.16,FR II
1.754,-66.308,Point Source
1.759,-24.728,Point Source
1.775,-65.945,FR II
1.785,-23.744,FR I
1.789,-24.372,Bent
